probe_id	chromosome	probe_location	gene_id
cg06110365	22	43583797	TTLL12
cg06110728	12	45270886	NELL2
cg06111305	13	98086784	RAP2A
cg06111454	14	24837836	NFATC4
cg06112415	2	27342158	CGREF1
cg06114765	21	17102990	USP25
cg06117855	3	45067788	CLEC3B
cg06118312	5	54398555	GZMA
cg06119575	9	108424905	TAL2
cg06121469	15	44956098	KIAA1840
cg06122080	3	25831834	OXSM
cg06123346	19	36054519	ATP4A
cg06126510	5	22142613	PMCHL1
cg06130787	19	51523550	KLK10
cg06131859	2	143635131	KYNU
cg06131936	11	3187271	OSBPL5
cg06132324	6	43544046	POLH
cg06132342	12	52761153	KRTHB5
cg06132694	4	118955172	NDST3
cg06134936	10	69834491	HERC4
cg06134964	3	52812033	ITIH1
cg06138027	9	86596281	HNRPK
cg06139836	10	131762961	EBF3
cg06140118	16	68056778	DUS2L
cg06141025	12	21757466	GYS2
cg06141123	2	178129829	NFE2L2
cg06142324	11	124805538	FLJ25530
cg06143901	20	591400	TCF15
cg06144905	17	27369780	PIPOX
cg06145308	7	135195101	CNOT4
cg06145357	X	149010149	MAGEA8
cg06146910	13	41706728	KBTBD6
cg06147863	11	47400113	SPI1
cg06148175	11	67418148	ACY3
cg06148264	6	2841468	SERPINB1
cg06150468	1	212874085	SNFT
cg06150803	13	24144257	TNFRSF19
cg06151165	20	25062254	VSX1
cg06151964	19	35531417	HPN
cg06154570	1	40105764	HEYL
cg06154597	4	924812	MGC4618
cg06156376	3	157823814	SHOX2
cg06161738	7	151722986	GALNT11
cg06161930	19	56633191	LOC126208
cg06162003	17	77752070	CBX2
cg06162422	X	100663051	GLA
cg06165395	1	37500790	GRIK3
cg06166767	8	41167848	SFRP1
cg06166863	14	39644186	PNN
cg06168050	17	30677336	ZNF207
cg06168324	2	161349637	RBMS1
cg06168449	19	38714549	DPF1
cg06171242	6	24667490	TTRAP
cg06171787	11	59578490	MRPL16
cg06172871	16	72088244	HP
cg06173079	22	18893414	DGCR6
cg06175025	14	78082992	SPTLC2
cg06177698	X	151805899	GABRQ
cg06177968	5	140044542	WDR55
cg06178072	16	88922252	HSPC176
cg06179485	1	33367401	TMEM54
cg06183267	2	100759134	AFF3
cg06185738	11	22359868	SLC17A6
cg06186808	14	24600901	LOC161247
cg06186861	3	44771174	ZNF501
cg06186973	7	75988652	YWHAG
cg06187947	2	189157042	GULP1
cg06188683	15	69113451	ANP32A
cg06189133	19	17931995	INSL3
cg06189265	1	173837002	ZBTB37
cg06189653	5	176873332	PRR7
cg06190053	9	70972125	PGM5
cg06190732	14	95078636	SERPINA3
cg06191076	1	68516463	DIRAS3
cg06191203	2	152266755	RIF1
cg06191990	12	58176640	TSFM
cg06192619	19	15083616	SLC1A6
cg06192753	19	13068297	GADD45GIP1
cg06193382	6	136571195	FAM54A
cg06193397	8	120651069	ENPP2
cg06194186	2	207803693	CPO
cg06194808	7	1596217	MGC9712
cg06196379	6	41254885	TREM1
cg06197006	17	1359813	CRK
cg06197492	11	2016605	H19
cg06200013	17	7554513	ATP1B2
cg06200339	5	157079404	SOX30
cg06200697	11	57528838	CTNND1
cg06201642	1	77333198	ST6GALNAC5
cg06202984	9	98079903	FANCC
cg06204948	11	63656090	MARK2
cg06206626	22	26825900	ASPHD2
cg06206628	10	49482826	FRMPD2
cg06207460	9	4741011	AK3
cg06207804	1	44398998	ARTN
cg06208111	X	78624108	ITM2A
cg06210526	19	41619850	CYP2F1
cg06211616	11	2923659	SLC22A18
cg06211871	1	40997551	ZNF684
cg06212607	1	235491708	GGPS1
cg06213287	5	96478495	LIX1
cg06213598	17	67058208	ABCA9
cg06214007	1	89829308	GBP6
cg06214729	19	18943372	RENT1
cg06215939	16	1755402	MAPK8IP3
cg06216677	9	35603842	TESK1
cg06218044	6	105851256	PREP
cg06220208	9	66555032	FLJ20444
cg06220235	16	11349023	SOCS1
cg06220521	13	95254216	ITR
cg06220755	X	17821058	RAI2
cg06220958	17	10452851	MYH2
cg06221259	5	137774471	REEP2
cg06222120	3	3168755	TRNT1
cg06222800	21	32127416	KRTAP21-1
cg06222851	10	50970358	OGDHL
cg06224510	10	7745454	ITIH2
cg06225581	5	140080094	ZMAT2
cg06226384	17	64873351	CACNG5
cg06229674	22	39492189	ARP10
cg06230736	10	8096650	GATA3
cg06233473	6	117002773	KPNA5
cg06233503	11	2812674	KCNQ1
cg06233985	11	5249528	HBB
cg06235429	11	67373114	NDUFV1
cg06235991	22	41601581	L3MBTL2
cg06236061	12	110317318	GLTP
cg06236276	6	160680078	SLC22A2
cg06236748	11	71935846	INPPL1
cg06237414	1	155178670	MTX1
cg06238491	19	54876446	LAIR1
cg06240124	16	23690079	PLK1
cg06240542	11	61129344	CYBASC3
cg06240849	1	47184738	KIAA0494
cg06241300	6	31623269	APOM
cg06242000	3	183966155	MGC2408
cg06242827	8	87355431	WWP1
cg06243393	18	9885015	TXNDC2
cg06243556	19	58609473	ZNF447
cg06244417	9	137809628	FCN1
cg06244634	7	141477998	TAS2R4
cg06244906	19	57307081	ZIM2
cg06245154	19	45873313	ERCC2
cg06247172	6	34216481	C6orf1
cg06248182	17	27181818	ERAL1
cg06250108	2	216946398	LOC92691
cg06251129	1	155990657	SSR2
cg06251489	4	26861983	STIM2
cg06252382	9	115913783	SLC31A2
cg06252849	5	76326040	AGGF1
cg06253072	6	33679850	C6orf125
cg06253734	15	59042325	ADAM10
cg06254453	6	26250350	HIST1H3F
cg06255227	20	62738125	NPBWR2
cg06255524	13	96328888	DNAJC3
cg06256735	12	8815894	MFAP5
cg06258834	19	51487136	KLK7
cg06259570	11	102576094	MMP27
cg06263495	11	2292004	ASCL2
cg06263943	16	1202015	CACNA1H
cg06264060	22	41075007	GPR24
cg06268694	22	46932642	CELSR1
cg06269001	20	25176407	ENTPD6
cg06269753	8	72755871	MSC
cg06270401	12	4699085	DYRK4
cg06273569	7	75157587	PMS2L3
cg06273903	X	118707913	UBE2A
cg06274159	4	188916867	ZFP42
cg06275635	1	153283994	PGLYRP3
cg06276114	11	102217591	BIRC2
cg06276653	8	139164635	C8ORFK32
cg06277277	1	161208307	NR1I3
cg06277481	19	8408146	ANKRD47
cg06277657	7	137532374	DGKI
cg06277838	X	73641370	SLC16A2
cg06279414	14	92506140	TRIP11
cg06281719	6	24774963	GMNN
cg06281795	8	91095114	CALB1
cg06282059	3	23846692	UBE2E1
cg06282240	13	25497044	CENPJ
cg06284244	18	813059	YES1
cg06284322	5	140700662	TAF7
cg06285340	15	74659901	CYP11A1
cg06285486	11	65729635	SART1
cg06286028	10	103824819	HPS6
cg06288351	20	43729897	KCNS1
cg06288632	2	27358152	PREB
cg06289589	20	10015419	ANKRD5
cg06290096	11	118475984	PHLDB1
cg06290168	12	110907010	C12orf24
cg06291334	17	47755771	SPOP
cg06291595	14	74960292	NPC2
cg06291867	10	92617162	HTR7
cg06292277	4	170541163	CLCN3
cg06293195	22	36878654	TXN2
cg06295404	16	11350337	SOCS1
cg06295856	11	14993642	CALCA
cg06296021	5	133702588	CDKL3
cg06297145	4	47917042	NFXL1
cg06302803	5	138609953	MATR3
cg06303238	20	50418959	SALL4
cg06305312	1	19638330	PQLC2
cg06305609	19	17634172	BCNP1
cg06306751	X	154251005	F8
cg06307169	17	38296698	CASC3
cg06307422	15	59279994	RNF111
cg06307601	8	130952644	FAM49B
cg06308323	9	34459568	C9orf25
cg06310489	X	52736249	SSX2
cg06310844	19	33072506	PDCD5
cg06311778	12	53441582	TENC1
cg06312477	1	228003900	MPN2
cg06313930	X	151286698	MAGEA5
cg06317209	12	58210878	AVIL
cg06318164	9	131710719	TMEM15
cg06318853	4	143351547	INPP4B
cg06319346	15	30686892	CHRFAM7A
cg06319579	17	8127196	C17orf44
cg06320982	16	58718767	FLJ10815
cg06321883	6	70576541	COL19A1
cg06323290	10	71029879	HK1
cg06323427	3	167452563	PDCD10
cg06324048	20	57427103	GNAS
cg06324094	1	153950482	JTB
cg06324671	21	31933511	KRTAP19-7
cg06325346	19	53761180	VN1R2
cg06325687	X	153448957	OPN1MW
cg06327515	5	140603261	PCDHB14
cg06330324	22	31031670	SLC35E4
cg06330621	16	87525461	ZCCHC14
cg06331674	7	32534854	KIAA0241
cg06333435	8	22102724	POLR3D
cg06334093	6	139094587	CCDC28A
cg06334284	1	57044991	PPAP2B
cg06334496	8	74888924	TMEM70
cg06335814	18	30051251	FAM59A
cg06335889	20	32077519	CBFA2T2
cg06336792	10	35415599	CREM
cg06337239	9	32526578	DDX58
cg06338119	X	109661862	RGAG1
cg06339657	5	76505932	PDE8B
cg06339706	19	49371285	PLEKHA4
cg06340713	X	85303427	CHM
cg06341721	19	1406759	DAZAP1
cg06344807	17	72745576	SLC9A3R1
cg06346081	1	42921584	ZMYND12
cg06347928	2	163175126	IFIH1
cg06347996	1	98386915	DPYD
cg06349174	11	3877476	STIM1
cg06350107	X	38210221	OTC
cg06350796	X	106449867	CXorf41
cg06351503	6	31928060	RDBP
cg06352750	2	192711926	SDPR
cg06353318	17	72920378	OTOP2
cg06353345	11	5322976	OR51B4
cg06353720	10	91087558	IFIT3
cg06353948	9	135231016	SETX
cg06356454	2	241631498	AQP12A
cg06357925	12	15475331	PTPRO
cg06358566	2	88991375	RPIA
cg06361108	16	2478781	CCNF
cg06362985	12	70132208	RAB3IP
cg06363129	7	16505602	SOSTDC1
cg06363801	X	134049271	MOSPD1
cg06366981	4	175443243	HPGD
cg06367117	17	26903928	ALDOC
cg06369854	12	48299313	VDR
cg06374075	17	42836931	ADAM11
cg06376129	1	205180539	RIPK5
cg06377278	1	25256369	RUNX3
cg06378107	11	100863057	AD031
cg06378357	12	123942579	U1SNRNPBP
cg06378617	17	39095141	KRT23
cg06378976	6	41703613	TFEB
cg06379754	7	82073573	CACNA2D1
cg06380007	15	41408085	INOC1
cg06381133	6	41747367	FRS3
cg06382459	1	2159373	SKI
cg06382698	2	54015232	ASB3
cg06383088	9	100459634	XPA
cg06384026	11	70117429	PPFIA1
cg06384053	11	114272481	FLJ20010
cg06384463	1	91182708	BARHL2
cg06384491	X	57163888	SPIN2
cg06385087	20	57581903	CTSZ
cg06386517	7	50860866	GRB10
cg06386533	2	46925753	SOCS5
cg06388544	1	25598878	RHD
cg06391468	17	70117530	SOX9
cg06391660	2	74608183	DCTN1
cg06392096	19	54824275	LILRA5
cg06392241	12	93771346	NUDT4
cg06392426	19	10676186	FLJ12949
cg06392589	3	136676846	FNDC6
cg06393290	4	1004778	FGFRL1
cg06394229	19	39303775	LGALS4
cg06394897	1	33502464	AK2
cg06397510	1	32403634	PTP4A2
cg06397837	7	27240251	HOXA13
cg06398181	18	74536226	ZNF236
cg06399881	4	69111391	TMPRSS11B
cg06403126	8	26149055	PPP2R2A
cg06403553	6	49754848	PGK2
cg06405090	22	43582667	TTLL12
cg06405206	17	47652804	NXPH3
cg06407137	17	72527515	CD300LB
cg06409153	17	67323953	ABCA5
cg06414605	3	193853892	HES1
cg06415153	12	123519476	PITPNM2
cg06416685	X	99891793	TSPAN6
cg06417225	12	118573533	PEBP1
cg06417705	2	67624590	ETAA16
cg06417962	11	507970	RNH1
cg06418184	9	34620572	DCTN3
cg06418219	1	154948305	SHC1
cg06418878	11	116643266	MGC13125
cg06419771	15	42264912	EHD4
cg06420088	1	155163590	MUC1
cg06421707	20	25228305	PYGB
cg06421800	9	22006228	CDKN2B
cg06422693	4	48833587	OCIAD1
cg06422910	7	130352926	COPG2
cg06423920	3	62359420	ZNF312
cg06424894	15	45314789	SORD
cg06425515	4	100356035	ADH7
cg06425556	20	33413664	NCOA6
cg06425868	20	44463228	C20orf161
cg06426831	1	100435258	SLC35A3
cg06428055	X	129243872	ELF4
cg06428195	10	101191157	GOT1
cg06429195	3	16646582	DAZL
cg06432655	19	36523405	CLIPR-59
cg06433658	1	150979092	FAM63A
cg06433995	6	13615570	NOL7
cg06434428	5	83016630	HAPLN1
cg06434451	1	32802291	MARCKSL1
cg06434470	7	154429544	DPP6
cg06435786	2	99135014	INPP4A
cg06436504	3	99833735	DOC1
cg06437004	12	21810458	LDHB
cg06437862	13	19756096	TUBA2
cg06438300	12	62586587	FAM19A2
cg06438404	16	85832847	COX4NB
cg06440646	4	146403418	SMAD1
cg06444558	8	27694860	PBK
cg06444781	12	121416510	TCF1
cg06445611	6	90025053	GABRR2
cg06449653	1	23670777	HNRPR
cg06452064	7	23571393	TRA2A
cg06452647	12	49961750	MCRS1
cg06453691	1	26218503	FLJ32206
cg06454084	19	47158242	MGC15476
cg06454226	18	2572965	METTL4
cg06456031	7	134832850	FLJ11000
cg06456512	15	69113056	ANP32A
cg06457357	X	56259243	KLF8
cg06458239	19	58038573	ZNF549
cg06459066	14	64855287	MTHFD1
cg06459327	15	34635538	NOLA3
cg06459378	7	99333757	CYP3A7
cg06461769	18	9335102	TWSG1
cg06461848	1	241846190	WDR64
cg06462291	12	104235479	NT5DC3
cg06462703	12	133430564	CHFR
cg06463913	11	207296	BET1L
cg06465021	5	127418547	SLC12A2
cg06465194	11	120531034	GRIK4
cg06465926	3	135685042	PPP2R3A
cg06466479	5	34919428	RAD1
cg06466797	7	35735019	FLJ22313
cg06468695	17	8647944	CCDC42
cg06469542	14	77965869	THSD3
cg06470471	3	54961911	LRTM1
cg06470552	10	112327234	CSPG6
cg06470943	1	40839093	SMAP1L
cg06471905	17	42835688	ADAM11
cg06473539	1	162039959	NOS1AP
cg06475327	19	43099482	CEACAM8
cg06476337	5	52856530	NDUFS4
cg06476606	10	91061728	IFIT2
cg06479216	9	21218462	IFNA16
cg06479426	20	61274286	SLCO4A1
cg06479512	6	160221164	PNLDC1
cg06481786	17	34257936	RAD52B
cg06484397	9	36137132	C9orf19
cg06487986	1	7843564	PER3
cg06488505	17	28934075	DKFZp667M2411
cg06488678	19	2390040	TMPRSS9
cg06489008	20	23433349	CST11
cg06489418	X	48334722	FTSJ1
cg06489804	19	12807371	FBXW9
cg06490162	16	15982174	C16orf63
cg06490951	18	580435	CETN1
cg06490988	3	128212001	GATA2
cg06491116	11	118122715	LOC196264
cg06491924	19	52430334	ZNF613
cg06492206	1	169455176	SLC19A2
cg06493080	17	46688310	HOXB7
cg06493386	8	72987797	TRPA1
cg06493930	11	22689814	GAS2
cg06493994	6	25652602	SCGN
cg06494770	X	117107675	KLHL13
cg06494782	12	52995446	K6IRS2
cg06495347	12	56391451	SUOX
cg06495803	12	6553489	TNFRSF7
cg06495924	8	145149574	CYC1
cg06496078	12	107350075	C12orf23
cg06496654	12	10955514	TAS2R7
cg06497752	20	61448534	COL9A3
cg06497795	12	56511914	ZC3H10
cg06498267	5	45695922	HCN1
cg06499565	20	35374747	NDRG3
cg06499652	11	13299410	ARNTL
cg06500079	17	619033	VPS53
cg06500476	4	37584954	FLJ11017
cg06501070	1	85331899	EDG7
cg06501084	14	63568195	KCNH5
cg06501790	5	176811257	SLC34A1
cg06502510	21	35013970	ITSN1
cg06502868	17	73775964	H3F3B
cg06504820	14	101192273	DLK1
cg06505666	2	113522377	FLJ40629
cg06506156	2	3381578	TSSC1
cg06506864	7	34698188	GPR154
cg06507244	10	127569494	DHX32
cg06507645	13	53227164	SUGT1
cg06508445	5	121414088	LOX
cg06508934	17	76921095	TIMP2
cg06509239	2	19558569	OSR1
cg06509940	3	119278914	CD80
cg06510830	21	33651316	C21orf45
cg06513075	11	34126714	NAT10
cg06516124	11	32450591	WT1
cg06516650	11	82783039	RAB30
cg06517798	1	160121283	ATP1A4
cg06518271	4	100140325	ADH6
cg06518779	13	103452556	KDELC1
cg06521280	10	75671378	PLAU
cg06521761	4	186299612	LRP2BP
cg06521852	22	38141419	HRIHFB2122
cg06522719	X	107287864	VSIG1
cg06526829	X	48828070	KCND1
cg06528936	1	38061398	GNL2
cg06529761	16	3702486	DNASE1
cg06530118	16	28503379	CLN3
cg06531741	11	113775450	HTR3B
cg06532147	X	154689659	H2AFB3
cg06532176	16	78133804	WWOX
cg06532493	10	60029458	C10orf70
cg06533629	7	130419370	KLF14
cg06534172	19	14530497	DDX39
cg06534422	22	24236603	MIF
cg06536578	14	24048555	JPH4
cg06537230	7	96653183	DLX5
cg06537829	17	16283976	UBB
cg06538003	2	68694168	C2orf13
cg06539449	11	69461008	CCND1
cg06539804	20	2781489	CPXM
cg06540105	2	132285688	CCDC74A
cg06540636	19	44174071	PLAUR
cg06540715	13	111568383	ANKRD10
cg06540941	1	171710566	VAMP4
cg06541857	3	134203789	CEP63
cg06542614	10	97051255	PDLIM1
cg06543018	3	139258822	RBP1
cg06543761	8	94929239	PPM2C
cg06544198	6	10723702	TMEM14C
cg06545504	4	70915792	HTN1
cg06545845	1	202114092	ARL8A
cg06546607	19	34013019	PEPD
cg06547766	3	187930704	LPP
cg06548519	17	34267111	LYZL6
cg06550629	12	131439172	GPR133
cg06552037	2	220435838	INHA
cg06552050	12	10875369	CSDA
cg06554069	19	5624175	SAFB2
cg06554542	12	102224375	GNPTAB
cg06554928	17	4852795	PFN1
cg06557358	17	32907002	LOC124842
cg06557606	8	54756224	ATP6V1H
cg06563300	12	100750811	SLC17A8
cg06564900	2	164592568	FIGN
cg06565684	1	101360112	EXTL2
cg06566994	3	44596384	ZNF167
cg06567342	1	71546685	ZNF265
cg06567423	11	125462867	STT3A
cg06570843	4	120243252	FABP2
cg06572160	19	50831901	KCNC3
cg06572974	15	93442219	CHD2
cg06575572	22	45705265	C22orf8
cg06577005	1	26758228	DHDDS
cg06577463	17	78120714	DDX48
cg06577658	19	46296270	DMWD
cg06577725	3	172858917	SPATA16
cg06580318	2	169747119	SPBC25
cg06583518	19	38085456	ZNF571
cg06584407	1	11907324	NPPA
cg06585027	1	151300083	PIK4CB
cg06585108	10	134671604	C10orf92
cg06585690	4	71262957	PROL1
cg06585893	1	230883552	CAPN9
cg06586599	19	7587541	MCOLN1
cg06587969	17	7591899	WDR79
cg06588247	14	103244199	TRAF3
cg06589885	1	145413193	HFE2
cg06590533	20	54934238	C20orf108
cg06590610	7	50444317	ZNFN1A1
cg06590711	X	88002311	CPXCR1
cg06593568	1	212965581	C1orf48
cg06594008	22	41033637	MKL1
cg06595693	15	40649989	DISP2
cg06597095	5	43480361	FLJ21657
cg06597861	8	144100572	LY6E
cg06598256	11	63988554	DNAJC4
cg06598631	6	88300029	ORC3L
cg06600412	4	185655239	MLF1IP
cg06600447	19	18668837	MGC2749
cg06601473	11	33694151	MGC34830
cg06602857	16	86542807	FOXF1
cg06605933	1	149870977	BOLA1
cg06606198	12	124086727	DDX55
cg06607866	11	67250809	AIP
cg06609049	19	2785107	THOP1
cg06609475	5	1801142	NDUFS6
cg06611310	2	48667531	LOC129285
cg06611744	13	27844618	RASL11A
cg06612452	1	20960677	PINK1
cg06613840	3	49395574	GPX1
cg06614002	22	38380439	SOX10
cg06615154	1	153522553	S100A3
cg06615667	9	132816229	GPR107
cg06615861	1	10271191	KIF1B
cg06616147	6	52926842	ICK
cg06616245	12	57854236	GLI1
cg06617418	X	109662113	RGAG1
cg06618866	4	154605087	TLR2
cg06619076	8	62627042	ASPH
cg06619299	5	177615005	GMCL1L
cg06620254	X	70503046	NONO
cg06621126	16	67198243	HSF4
cg06621358	3	48699637	CELSR3
cg06622725	11	45939917	PEX16
cg06623268	1	45805342	TOE1
cg06624832	17	72772340	NAT9
cg06625414	2	220492692	SLC4A3
cg06625767	5	176836695	F12
cg06625811	1	170044077	KIFAP3
cg06626655	1	38099916	RSPO1
cg06627364	2	87755088	MGC4677
cg06628693	1	84543156	PRKACB
cg06630241	12	93967711	SOCS2
cg06630567	9	116840435	AMBP
cg06630737	1	11752109	C1orf187
cg06632528	11	63993432	NUDT22
cg06634267	6	7590278	C6orf151
cg06636246	10	98593247	MLR2
cg06636463	2	15731711	DDX1
cg06637774	11	72975702	P2RY6
cg06637893	16	67700960	C16orf48
cg06638012	5	132299861	AFF4
cg06638433	17	47075175	IGF2BP1
cg06638451	3	58563269	FAM107A
cg06638966	6	70576321	COL19A1
cg06639544	19	14940319	OR7A5
cg06640279	1	207095153	FAIM3
cg06641366	1	90097604	LRRC8C
cg06641503	3	48959341	ARIH2
cg06642617	2	73461528	CCT7
cg06643227	9	114557239	C9orf84
cg06645778	2	64680425	HSPC159
cg06646021	1	229406520	RAB4A
cg06648029	3	119499749	NR1I2
cg06649520	4	153700671	ARFIP1
cg06650260	1	27240478	NR0B2
cg06650786	19	15312129	NOTCH3
cg06653796	20	62367805	LIME1
cg06654134	2	46844408	PIGF
cg06654447	9	139686019	MGC14141
cg06655089	3	49066738	IMPDH2
cg06655100	X	56259373	KLF8
cg06655504	17	57297718	GDPD1
cg06656924	6	35228319	ZNF76
cg06657741	X	135067456	SLC9A6
cg06659073	6	158589307	SERAC1
cg06659128	X	154842535	TMLHE
cg06661765	19	13106629	NFIX
cg06661994	20	62184363	C20orf195
cg06665322	1	167059365	GPA33
cg06665799	5	177019313	TMED9
cg06665941	21	34602869	IFNAR2
cg06665984	14	92506784	TRIP11
cg06666486	7	6099044	EIF2AK1
cg06667091	6	100017988	CCNC
cg06667406	7	121773889	AASS
cg06668073	20	6104018	C20orf42
cg06668300	2	95691755	MAL
cg06672652	1	203830934	SNRPE
cg06673956	6	46882872	GPR116
cg06675341	11	20408613	PRMT3
cg06675478	13	112721786	SOX1
cg06675496	2	24582688	ITSN2
cg06677140	4	4862015	MSX1
cg06677660	19	49140777	DBP
cg06679221	3	9405070	THUMPD3
cg06682185	18	61157615	SERPINB5
cg06682978	6	17394417	CAP2
cg06684910	16	22308904	POLR3E
cg06687562	1	18081775	ACTL8
cg06688396	8	92053433	TMEM55A
cg06688848	16	57220097	RSPRY1
cg06689536	16	2480094	CCNF
cg06690548	4	139162808	SLC7A11
cg06690633	14	65438715	RAB15
cg06691299	X	47077361	PCTK1
cg06692050	10	99532398	SFRP5
cg06692957	9	80647629	GNAQ
cg06695761	7	94286526	PEG10
cg06697251	19	6501613	TUBB4
cg06698742	11	85359218	TMEM126A
cg06699365	11	59383578	OSBP
cg06700265	12	12715028	DUSP16
cg06700462	X	19002006	PHKA2
cg06701500	2	9771671	YWHAQ
cg06707338	2	207024452	EEF1B2
cg06707886	7	916393	C7orf20
cg06708560	17	40170084	DNAJC7
cg06710522	17	45908972	MRPL10
cg06710648	1	58716377	DAB1
cg06711560	9	139746365	MAMDC4
cg06712026	10	53459102	CSTF2T
cg06713098	7	45960367	IGFBP3
cg06714705	11	7506940	OLFML1
cg06716436	19	10342240	EDG5
cg06717104	10	51623795	TIMM23
cg06717231	19	9434953	ZNF559
cg06718696	17	78121285	DDX48
cg06719391	11	2554330	KCNQ1
cg06720424	5	176433271	RAP80
cg06720660	14	21248497	RNASE6
cg06720956	15	53082145	ONECUT1
cg06722216	18	31803067	NOL4
cg06722633	1	37499309	GRIK3
cg06722792	21	44073919	PDE9A
cg06723357	17	55981642	CUEDC1
cg06725035	21	48055212	PRMT2
cg06725760	10	1102461	WDR37
cg06726207	14	61190550	SIX4
cg06728335	16	2318300	RNPS1
cg06730286	16	1657372	IFT140
cg06730468	19	48867056	FLJ10922
cg06731484	15	40697714	IVD
cg06731599	X	40440704	ATP6AP2
cg06734812	19	3223915	BRUNOL5
cg06734828	16	15069433	KIAA0251
cg06734962	8	48650989	CEBPD
cg06736444	16	2801793	SRRM2
cg06738602	14	52780634	PTGER2
cg06740897	17	46124821	NFE2L1
cg06742978	12	50451907	ACCN2
cg06743811	15	23931451	NDN
cg06744574	1	49242359	C1orf165
cg06745740	7	81399587	HGF
cg06746101	15	79603771	TMED3
cg06746171	5	151138551	ATOX1
cg06747888	2	162271859	TBR1
cg06748315	21	31864089	KRTAP19-3
cg06750167	12	117538458	TESC
cg06751597	15	42788175	SNAP23
cg06752594	1	109825964	PSRC1
cg06754047	2	73441257	SMYD5
cg06755819	11	32112884	RCN1
cg06757810	8	87756528	CNGB3
cg06758848	X	153603268	FLNA
cg06759215	17	42786055	DBF4B
cg06759890	5	77806538	LHFPL2
cg06760035	17	46655245	HOXB4
cg06762858	7	99971256	PILRA
cg06763078	11	17756761	KCNC1
cg06765434	18	54305287	TXNL1
cg06765514	9	130689862	PIP5KL1
cg06765947	3	126236742	UROC1
cg06766367	16	67062687	CBFB
cg06768707	5	140556503	PCDHB8
cg06771126	4	57547699	HOP
cg06772202	7	75678527	STYXL1
cg06776256	12	13043728	GPRC5A
cg06777274	18	48406251	ME2
cg06777581	6	37321919	RNF8
cg06777715	5	81267628	ATG10
cg06778853	1	6672620	PHF13
cg06779945	6	138188320	TNFAIP3
cg06780358	11	48003065	PTPRJ
cg06781209	11	61594997	FADS2
cg06782692	10	134121419	STK32C
cg06782849	3	132440859	NPHP3
cg06783668	2	71204585	FLJ12056
cg06784339	7	140179139	MKRN1
cg06784466	19	52297968	FPRL2
cg06785429	3	182699414	DCUN1D1
cg06785822	2	10281330	FLJ25102
cg06786424	6	4021316	PRPF4B
cg06790275	15	68346669	PIAS1
cg06790324	7	50860564	GRB10
cg06790862	11	30601783	MPPED2
cg06791102	X	153191600	ARHGAP4
cg06791867	11	44880944	TSPAN18
cg06792598	1	207494733	CD55
cg06792911	1	43425022	SLC2A1
cg06793062	16	76343868	CNTNAP4
cg06796611	1	207070834	IL24
cg06797533	9	19127804	ADFP
cg06798189	3	27498659	SLC4A7
cg06799664	17	76567121	DNAHL1
cg06800962	3	149096029	TM4SF1
cg06803184	1	241683075	FH
cg06803253	3	50229604	GNAT1
cg06804431	1	145516254	PEX11B
cg06804711	18	56338744	MALT1
cg06806080	3	107810791	CD47
cg06806711	11	60223291	MS4A1
cg06807379	19	3971119	DAPK3
cg06807579	3	52029988	RPL29
cg06807989	3	111805312	C3orf52
cg06808983	17	42148292	G6PC3
cg06809565	X	153236787	CXorf12
cg06810461	16	67518144	AGRP
cg06810647	16	1665094	CRAMP1L
cg06811800	13	114312105	ATP4B
cg06812033	16	50582453	NKD1
cg06812844	21	45773782	TRPM2
cg06812977	10	90343036	C10orf59
cg06813842	15	43910131	STRC
cg06815666	19	54618544	PRPF31
cg06815817	7	148936572	ZNF212
cg06816063	19	16222510	RAB8A
cg06816106	2	29033352	SPDY1
cg06816161	7	148581907	EZH2
cg06817264	11	66335649	CTSF
cg06817269	15	59909035	GCNT3
cg06817917	10	88515527	BMPR1A
cg06818415	6	33379267	PHF1
cg06818473	17	80657344	RAB40B
cg06818777	17	48546620	CHAD
cg06819200	1	21616641	ECE1
cg06821120	3	50375459	RASSF1
cg06821274	1	155990882	SSR2
cg06821993	8	114449011	CSMD3
cg06822229	X	108976856	ACSL4
cg06822995	5	110559431	CAMK4
cg06823263	1	161015119	USF1
cg06824727	14	24768621	DHRS1
cg06825142	11	637170	DRD4
cg06825166	10	98119079	TMEM10
cg06827038	17	48912952	WFIKKN2
cg06827976	1	27950589	FGR
cg06830426	19	58898769	RPS5
cg06831658	12	93965050	SOCS2
cg06832039	7	153111226	FLJ42291
cg06832950	14	51025891	SPG3A
cg06833562	1	86174060	C1orf181
cg06834261	2	203776215	WDR12
cg06834875	14	100111263	KIAA1822
cg06834983	X	52683807	SSX7
cg06836338	17	17942007	C17orf39
cg06836736	6	84140993	ME1
cg06836772	1	57110403	PRKAA2
cg06836849	12	100751051	SLC17A8
cg06837731	10	101945906	SPFH1
cg06838394	20	47538719	ARFGEF2
cg06839953	1	27648457	C1orf160
cg06840042	3	12598618	MKRN2
cg06840226	2	241375513	GPC1
cg06840239	11	62539043	TAF6L
cg06840801	8	42552719	CHRNB3
cg06848073	1	11713540	FBXO44
cg06848288	6	79788573	PHIP
cg06849227	17	61599694	KCNH6
cg06849477	22	45072724	PRR5
cg06850526	17	79269886	MGC15523
cg06851207	19	46975138	FLJ10781
cg06852652	10	96442031	CYP2C18
cg06852744	7	44142973	AEBP1
cg06855803	19	10450364	ICAM3
