gene_symbol	chromosome	start_loc	stop_loc	strand
AL157904.24|1|ENSG00000221425	1	532891	533035	+
AL157915.3-1|14|ENSG00000210045	14	703535	703825	-
AL157931.17|13|ENSG00000223116	13	624947	625089	-
AL157938.22|9|ENSG00000208557	9	31467	31563	+
AL157955.5|14|ENSG00000210451	14	525800	525900	-
AL157957.4|14|ENSG00000210442	14	801384	801457	+
AL158014.20-1|10|ENSG00000211181	10	764336	764626	+
AL158032.32|13|ENSG00000215572	13	857886	858914	+
AL158033.18|6|ENSG00000208442	6	538189	538263	-
AL158040.14-1|10|ENSG00000214549	10	536667	537176	+
AL158040.14-2|10|ENSG00000105988	10	634344	634805	+
AL158050.8|6|ENSG00000180518	6	526082	526306	-
AL158052.10|9|ENSG00000208719	9	696291	696366	-
AL158055.12|X|ENSG00000187690	X	38871	40791	+
AL158058.5-2|14|ENSG00000212061	14	1287	1373	+
AL158066.12-1|13|ENSG00000197585	13	322069	323071	-
AL158066.12-2|13|ENSG00000217576	13	287756	358179	-
AL158068.18-1|4|ENSG00000209777	4	293783	294091	-
AL158068.18-2|4|ENSG00000215361	4	227052	239682	-
AL158139.26|6|ENSG00000176405	6	718644	718910	+
AL158140.9|X|ENSG00000215104	X	1001	64294	-
AL158141.14-1|X|ENSG00000211221	X	506920	506974	+
AL158141.14-2|X|ENSG00000211227	X	512357	512426	-
AL158141.14-3|X|ENSG00000211235	X	512430	512481	-
AL158141.14-4|X|ENSG00000211237	X	512483	512551	-
AL158141.14-5|X|ENSG00000211991	X	407790	407873	+
AL158147.17|9|ENSG00000214204	9	152734	153968	-
AL158150.14|9|ENSG00000223211	9	753989	754079	-
AL158151.16-1|9|ENSG00000204055	9	11707	45506	+
AL158151.16-2|9|ENSG00000220992	9	65508	65653	-
AL158151.16-3|9|ENSG00000221521	9	941986	942087	-
AL158152.18-1|9|ENSG00000209298	9	287028	287129	+
AL158152.18-2|9|ENSG00000209271	9	299243	299306	+
AL158154.28-1|9|ENSG00000214931	9	737093	743481	+
AL158154.28-2|9|ENSG00000204562	9	736992	743481	+
AL158154.28-3|9|ENSG00000189357	9	752038	758553	+
AL158154.28-4|9|ENSG00000220979	9	629551	629636	-
AL158155.24-2|9|ENSG00000216070	9	504870	504951	-
AL158156.7|9|ENSG00000187988	9	685996	687164	+
AL158164.15|10|ENSG00000204832	10	188456	199985	+
AL158165.15|10|ENSG00000210773	10	19641	19714	-
AL158175.7|20|ENSG00000215553	20	716801	717779	-
AL158192.15-1|13|ENSG00000210302	13	675546	675635	-
AL158192.15-2|13|ENSG00000210305	13	79717	80009	+
AL158194.16|13|ENSG00000209537	13	811476	811576	-
AL158196.24|13|ENSG00000214488	13	14840	15016	-
AL158198.14|6|ENSG00000210228	6	182326	182397	+
AL158200.17|X|ENSG00000186381	X	686170	686505	-
AL158201.19|X|ENSG00000211173	X	186649	186711	-
AL158206.8-1|9|ENSG00000147893	9	408783	409163	-
AL158206.8-2|9|ENSG00000210448	9	440685	440858	-
AL158212.15|10|ENSG00000203854	10	647965	648505	+
AL158218.11|1|ENSG00000216938	1	319638	320811	-
AL158801.4|14|ENSG00000209119	14	889223	889554	+
AL158817.11-1|6|ENSG00000209935	6	166025	166315	-
AL158819.14-1|X|ENSG00000211110	X	129092	129159	-
AL158819.14-2|X|ENSG00000211112	X	129230	129297	-
AL158819.14-3|X|ENSG00000211115	X	130250	130324	-
AL158819.14-4|X|ENSG00000211118	X	131863	131931	-
AL158819.14-5|X|ENSG00000211123	X	132884	132954	-
AL158824.11-1|9|ENSG00000208822	9	882859	883148	-
AL158824.11-2|9|ENSG00000208812	9	912901	913115	-
AL158825.12|9|ENSG00000204638	9	499303	499671	-
AL158826.23-1|9|ENSG00000204031	9	213681	214393	+
AL158835.11-1|10|ENSG00000214297	10	725753	726828	-
AL158835.11-2|10|ENSG00000214294	10	815661	815974	+
AL158837.14-1|1|ENSG00000208384	1	972739	972837	+
AL158847.22|1|ENSG00000213353	1	219726	219937	-
AL159152.11|13|ENSG00000221473	13	1424610	1424696	+
AL159153.17|13|ENSG00000210514	13	819054	819152	+
AL159167.23-1|9|ENSG00000218011	9	244903	246964	+
AL159167.23-2|9|ENSG00000204330	9	247167	288867	+
AL159169.14|9|ENSG00000215261	9	474667	612634	-
AL159973.16-1|13|ENSG00000215486	13	24144	24864	+
AL159974.21|13|ENSG00000209123	13	345886	345974	-
AL159977.10-1|13|ENSG00000209438	13	93133	93190	-
AL159977.10-2|13|ENSG00000221756	13	69459	69605	+
AL159987.19|X|ENSG00000169164	X	603649	605893	-
AL159997.14|9|ENSG00000221105	9	119227	119351	-
AL160001.10-1|1|ENSG00000208232	1	998306	998432	-
AL160001.10-2|1|ENSG00000208231	1	998757	998824	-
AL160004.18-1|1|ENSG00000208132	1	342309	342369	+
AL160004.18-2|1|ENSG00000208131	1	369765	369949	-
AL160037.17|6|ENSG00000210368	6	360798	360874	+
AL160056.16|1|ENSG00000221777	1	297368	297482	+
AL160059.7-1|1|ENSG00000208275	1	10627	10690	+
AL160059.7-2|1|ENSG00000208273	1	10691	10749	+
AL160059.7-3|1|ENSG00000208272	1	10750	10820	+
AL160059.7-4|1|ENSG00000212881	1	1285	1422	+
AL160153.11-1|13|ENSG00000215399	13	80188	80767	+
AL160155.19-1|13|ENSG00000218502	13	125534	125920	-
AL160157.17-1|13|ENSG00000209728	13	52854	52941	-
AL160192.3|14|ENSG00000222877	14	190968	191062	+
AL160231.4|14|ENSG00000214927	14	588695	589884	-
AL160236.4-1|14|ENSG00000214775	14	731559	732416	-
AL160236.4-2|14|ENSG00000220048	14	784565	784786	-
AL160237.4-1|14|ENSG00000209454	14	346916	347127	+
AL160267.17-1|9|ENSG00000211189	9	388264	388330	+
AL160267.17-2|9|ENSG00000211192	9	388364	388435	+
AL160267.17-3|9|ENSG00000211196	9	388437	388505	+
AL160267.17-4|9|ENSG00000211201	9	388516	388582	-
AL160270.19|9|ENSG00000210712	9	662440	662620	+
AL160271.19-1|9|ENSG00000208535	9	629649	629943	-
AL160275.14-1|9|ENSG00000208798	9	236375	236448	-
AL160279.21-1|9|ENSG00000214888	9	582742	682954	-
AL160279.21-2|9|ENSG00000222408	9	568456	568548	-
AL160280.10|9|ENSG00000211133	9	271553	271647	+
AL160394.19-1|13|ENSG00000222132	13	945573	945707	-
AL160397.17-1|13|ENSG00000209649	13	837621	837717	-
AL160397.17-2|13|ENSG00000209653	13	837719	837783	-
AL160400.20-1|6|ENSG00000214975	6	805665	806227	+
AL160400.20-2|6|ENSG00000210313	6	860239	860528	-
AL160471.5|14|ENSG00000209792	14	463208	463280	+
AL160471.6|14|ENSG00000218974	14	608806	609680	-
AL161431.28|13|ENSG00000222110	13	578596	578647	+
AL161445.10|9|ENSG00000210637	9	229174	229302	+
AL161449.7|9|ENSG00000214121	9	659597	660192	-
AL161450.14-10|9|ENSG00000210179	9	306269	306335	-
AL161450.14-11|9|ENSG00000210182	9	306337	306404	+
AL161450.14-12|9|ENSG00000210193	9	307399	307467	+
AL161450.14-13|9|ENSG00000210197	9	315220	315287	+
AL161450.14-14|9|ENSG00000209079	9	315634	315700	+
AL161450.14-15|9|ENSG00000209122	9	317358	317426	+
AL161450.14-16|9|ENSG00000210198	9	317428	317485	+
AL161450.14-17|9|ENSG00000210199	9	317486	317556	+
AL161450.14-1|9|ENSG00000182347	9	293059	294284	-
AL161450.14-2|9|ENSG00000210104	9	300471	300539	+
AL161450.14-3|9|ENSG00000210116	9	302088	302161	+
AL161450.14-4|9|ENSG00000210137	9	303149	303220	-
AL161450.14-5|9|ENSG00000210148	9	303222	303290	+
AL161450.14-6|9|ENSG00000210155	9	304327	304394	+
AL161450.14-7|9|ENSG00000210157	9	304405	304472	-
AL161450.14-8|9|ENSG00000210162	9	304474	304546	-
AL161450.14-9|9|ENSG00000210175	9	304651	304716	-
AL161452.19|9|ENSG00000221613	9	599546	599635	-
AL161617.12-1|13|ENSG00000210456	13	434599	434688	-
AL161626.20-1|9|ENSG00000219149	9	143928	144414	-
AL161626.20-2|9|ENSG00000211139	9	166379	166680	+
AL161645.14-1|10|ENSG00000148805	10	646536	661055	+
AL161645.14-2|10|ENSG00000214279	10	650886	661055	+
AL161651.13-1|10|ENSG00000209023	10	554916	555076	-
AL161651.13-2|10|ENSG00000215186	10	553166	560740	-
AL161651.13-3|10|ENSG00000220997	10	553900	553981	-
AL161652.25-1|10|ENSG00000207895	10	859223	859316	-
AL161654.14-1|10|ENSG00000209533	10	219245	219482	-
AL161662.6|14|ENSG00000205533	14	807085	810764	-
AL161668.6-1|14|ENSG00000165801	14	624312	643821	+
AL161668.6-2|14|ENSG00000178107	14	661987	670646	+
AL161713.4|14|ENSG00000210408	14	279853	279951	+
AL161720.15|6|ENSG00000209227	6	449967	450069	+
AL161723.12|X|ENSG00000221005	X	930150	930266	+
AL161734.12-1|1|ENSG00000208267	1	359408	359497	+
AL161734.12-2|1|ENSG00000208264	1	427380	427615	-
AL161740.16|1|ENSG00000221591	1	45720	45802	+
AL161742.7-1|1|ENSG00000177452	1	47238	47827	-
AL161742.7-2|1|ENSG00000177433	1	101714	102199	-
AL161747.5-1|14|ENSG00000209419	14	983454	983750	-
AL161756.6|14|ENSG00000214770	14	483871	486635	-
AL161757.4-1|14|ENSG00000209805	14	458993	459265	-
AL161773.21|13|ENSG00000210506	13	695577	695668	-
AL161777.4|X|ENSG00000208533	X	407600	407701	-
AL161786.12|9|ENSG00000211262	9	275828	275928	+
AL161790.23|9|ENSG00000222722	9	230216	230289	-
AL161793.9-1|1|ENSG00000208201	1	577279	577366	-
AL161901.18-1|13|ENSG00000209846	13	949035	949115	+
AL161907.17|6|ENSG00000210937	6	818373	818452	+
AL161908.13|9|ENSG00000221173	9	319925	320025	-
AL161911.17|9|ENSG00000214654	9	410400	411699	+
AL161915.8|1|ENSG00000212670	1	183735	185517	+
AL161932.15-1|10|ENSG00000209685	10	187652	187931	-
AL161936.15-1|10|ENSG00000209621	10	841463	841589	+
AL162151.1|14|ENSG00000218496	14	799568	799990	-
AL162151.3|14|ENSG00000220591	14	800003	800160	+
AL162231.20-1|9|ENSG00000187186	9	848846	849844	-
AL162231.20-2|9|ENSG00000205108	9	907048	910092	-
AL162231.20-3|9|ENSG00000215204	9	910309	913299	-
AL162231.20-4|9|ENSG00000159797	9	14084	22347	-
AL162233.14-1|9|ENSG00000215142	9	1001	136219	-
AL162233.14-2|9|ENSG00000209085	9	19331	19586	+
AL162272.10-1|10|ENSG00000203437	10	167758	168171	+
AL162293.22|20|ENSG00000204117	20	26144	32468	+
AL162311.5|14|ENSG00000209585	14	863646	863748	-
AL162377.10-1|13|ENSG00000174893	13	934664	935137	-
AL162377.10-2|13|ENSG00000180358	13	838436	870239	-
AL162389.21-1|9|ENSG00000208975	9	350702	350803	-
AL162389.21-2|9|ENSG00000208966	9	364571	364871	-
AL162415.16|9|ENSG00000213815	9	48928	49113	-
AL162415.1|9|ENSG00000218420	9	136745	140395	-
AL162415.3|9|ENSG00000217415	9	22883	24230	+
AL162415.4|9|ENSG00000217259	9	26038	26533	+
AL162417.23-1|9|ENSG00000170827	9	987028	989524	+
AL162417.23-2|9|ENSG00000208511	9	997528	997625	+
AL162419.34-1|9|ENSG00000221730	9	555296	555367	-
AL162427.24|9|ENSG00000209309	9	460691	460977	-
AL162430.15-1|1|ENSG00000203280	1	170815	171254	-
AL162430.15-2|1|ENSG00000210557	1	206344	206445	-
AL162430.15-4|1|ENSG00000221492	1	165972	166047	+
AL162431.17-1|1|ENSG00000215828	1	313036	345479	-
AL162431.17-2|1|ENSG00000198665	1	341556	349729	+
AL162458.10-1|20|ENSG00000203346	20	824495	824615	+
AL162458.10-2|20|ENSG00000177584	20	743554	743961	-
AL162458.10-3|20|ENSG00000204044	20	822525	831096	-
AL162501.11|9|ENSG00000210829	9	648853	649108	+
AL162502.17|10|ENSG00000221465	10	617375	617464	+
AL162511.5-1|14|ENSG00000209588	14	308403	308558	-
AL162511.5-2|14|ENSG00000212071	14	273266	273354	-
AL162571.9|13|ENSG00000214249	13	937502	939740	-
AL162574.14-1|13|ENSG00000196777	13	221411	221756	-
AL162574.14-2|13|ENSG00000174408	13	142788	143526	-
AL162590.15|9|ENSG00000222169	9	97114	97221	-
AL162595.17-1|1|ENSG00000208134	1	140749	140835	-
AL162595.17-2|1|ENSG00000177788	1	230105	230780	-
AL162614.25-1|11|ENSG00000188512	11	338265	338779	-
AL162614.25-2|11|ENSG00000221629	11	263558	263693	+
AL162615.13-1|20|ENSG00000210711	20	815978	816276	+
AL162716.9-1|13|ENSG00000215441	13	597764	599273	+
AL162724.16|9|ENSG00000204122	9	13501	15646	+
AL162725.10-1|9|ENSG00000210382	9	973062	973356	+
AL162733.9|9|ENSG00000213539	9	158175	159742	-
AL162734.15|1|ENSG00000203761	1	554518	556013	+
AL162853.17-1|13|ENSG00000209408	13	526217	526380	-
AL163011.3|14|ENSG00000210535	14	410244	410456	-
AL163052.4|14|ENSG00000179020	14	841529	841801	-
AL163152.4|14|ENSG00000209386	14	684063	684154	-
AL163171.4|14|ENSG00000213346	14	222155	222507	-
AL163195.5|14|ENSG00000198290	14	144346	161081	+
AL163533.14|13|ENSG00000165618	13	295618	295998	-
AL163537.11|13|ENSG00000217768	13	1115135	1117094	-
AL163544.24-1|13|ENSG00000209567	13	253013	253280	+
AL163636.7-1|14|ENSG00000209393	14	223119	223202	-
AL163636.7-2|14|ENSG00000209397	14	230963	231044	-
AL163760.4-1|14|ENSG00000210657	14	178056	178353	-
AL163760.4-2|14|ENSG00000222066	14	158321	158439	-
AL163872.2|14|ENSG00000197176	14	459374	513347	-
AL163952.5-1|14|ENSG00000213622	14	632823	633198	-
AL163952.5-3|14|ENSG00000221254	14	710089	710176	+
AL163953.1|14|ENSG00000219652	14	183134	183815	+
AL163973.1|14|ENSG00000214943	14	57364	58320	-
AL352979.4|14|ENSG00000214855	14	513333	517881	-
AL353136.21-1|X|ENSG00000211167	X	760839	760944	-
AL353138.10|6|ENSG00000214653	6	367917	368864	-
AL353141.13|9|ENSG00000221772	9	58173	58262	+
AL353147.10-1|10|ENSG00000209471	10	796547	796621	-
AL353147.10-2|10|ENSG00000209472	10	796705	796772	+
AL353147.10-3|10|ENSG00000209475	10	796789	796861	-
AL353147.10-4|10|ENSG00000209476	10	796863	796930	+
AL353147.10-5|10|ENSG00000209478	10	842107	842210	-
AL353147.10-6|10|ENSG00000212072	10	832666	832769	-
AL353354.36-1|1|ENSG00000215903	1	960350	960745	-
AL353354.36-2|1|ENSG00000215902	1	1225	1364	-
AL353573.10|9|ENSG00000210615	9	346481	346563	+
AL353579.17|6|ENSG00000210733	6	511428	511527	-
AL353581.14-1|13|ENSG00000198403	13	794004	799975	-
AL353581.14-2|13|ENSG00000210322	13	859456	859695	-
AL353587.11|X|ENSG00000213740	X	868054	869651	+
AL353588.25|6|ENSG00000214666	6	113346	120426	+
AL353597.20|6|ENSG00000204110	6	767570	801612	+
AL353600.10-1|10|ENSG00000209716	10	843192	843489	-
AL353604.18|1|ENSG00000210044	1	44568	44656	-
AL353608.20|9|ENSG00000196179	9	583926	584363	-
AL353622.33|1|ENSG00000209766	1	113043	113115	-
AL353625.5|6|ENSG00000213073	6	444409	444973	+
AL353626.5-1|9|ENSG00000221605	9	125230	125312	-
AL353626.5-3|9|ENSG00000221127	9	122306	122381	-
AL353629.22|9|ENSG00000211429	9	654336	654441	-
AL353652.17-1|13|ENSG00000204918	13	215813	218834	+
AL353652.17-2|13|ENSG00000204917	13	222386	225407	+
AL353652.17-3|13|ENSG00000204916	13	228957	231978	+
AL353652.17-4|13|ENSG00000204914	13	235522	238543	+
AL353654.29|6|ENSG00000170590	6	76910	89885	-
AL353658.33|20|ENSG00000215420	20	619940	624225	-
AL353662.19-1|9|ENSG00000203513	9	353506	353753	+
AL353662.19-2|9|ENSG00000203512	9	379461	379702	+
AL353662.19-3|9|ENSG00000203511	9	385090	385332	-
AL353662.19-4|9|ENSG00000210707	9	389974	390058	-
AL353662.19-5|9|ENSG00000210708	9	454642	454739	-
AL353664.14|10|ENSG00000221402	10	120216	120310	-
AL353671.6-1|9|ENSG00000210621	9	590864	591100	+
AL353671.6-2|9|ENSG00000203543	9	600806	601073	+
AL353671.6-3|9|ENSG00000203542	9	601140	601412	-
AL353671.6-4|9|ENSG00000214006	9	609829	610846	+
AL353671.6-5|9|ENSG00000203541	9	606112	606726	+
AL353678.11|9|ENSG00000214908	9	197998	199261	-
AL353692.14-1|6|ENSG00000209153	6	391120	391220	+
AL353698.17|X|ENSG00000196163	X	23252	24509	+
AL353705.23-1|9|ENSG00000211151	9	989021	989252	+
AL353705.23-2|9|ENSG00000213738	9	2772	3068	+
AL353707.14|9|ENSG00000221581	9	557797	557884	-
AL353711.13-1|9|ENSG00000210293	9	572075	572168	+
AL353715.21|20|ENSG00000197457	20	823647	837366	-
AL353716.18|6|ENSG00000181524	6	536546	732827	-
AL353726.22|9|ENSG00000177910	9	953187	954119	-
AL353732.14|9|ENSG00000171889	9	402129	507556	-
AL353733.14-2|9|ENSG00000221708	9	112216	112313	+
AL353734.12|13|ENSG00000214178	13	206544	207040	-
AL353736.11|9|ENSG00000208742	9	939037	939119	-
AL353743.22-1|9|ENSG00000165121	9	653018	673068	+
AL353743.22-2|9|ENSG00000213711	9	722459	723276	+
AL353745.7|9|ENSG00000214020	9	987782	988861	+
AL353748.13|9|ENSG00000211366	9	197824	197912	+
AL353763.14-1|9|ENSG00000211010	9	838782	839022	+
AL353763.14-2|9|ENSG00000221780	9	815768	815850	-
AL353763.14-3|9|ENSG00000221709	9	811178	811253	-
AL353771.8-1|1|ENSG00000211001	1	647762	648057	-
AL353774.11|9|ENSG00000211245	9	508655	508710	-
AL353782.23|9|ENSG00000221089	9	987841	987929	-
AL353795.13-1|9|ENSG00000210728	9	233087	233379	+
AL353795.13-2|9|ENSG00000215198	9	331217	333000	-
AL353803.23-1|9|ENSG00000208593	9	205106	205397	-
AL353898.10|1|ENSG00000203276	1	113835	114288	-
AL353997.10|17|ENSG00000217343	17	40086	40607	+
AL353997.11|17|ENSG00000219334	17	42797	42904	+
AL353997.2|17|ENSG00000218249	17	978939	986420	+
AL353997.3-1|17|ENSG00000203493	17	982141	982709	-
AL353997.3-2|17|ENSG00000209757	17	992056	992114	-
AL353997.3-3|17|ENSG00000220161	17	1001	4222	+
AL353997.3-4|17|ENSG00000205266	17	10175	14937	+
AL353997.3-5|17|ENSG00000167494	17	87288	90877	-
AL353997.5|17|ENSG00000131885	17	16769	21690	+
AL353997.7|17|ENSG00000217917	17	50233	52897	+
AL353999.2|X|ENSG00000204119	X	609638	610433	+
AL354661.14-1|9|ENSG00000208857	9	51963	52051	-
AL354680.14|6|ENSG00000223291	6	262452	262548	+
AL354696.11-1|13|ENSG00000215482	13	616036	616484	-
AL354696.11-2|13|ENSG00000209560	13	567217	567507	+
AL354696.11-3|13|ENSG00000209563	13	625319	625423	-
AL354702.7|1|ENSG00000215895	1	488868	490833	+
AL354707.17|9|ENSG00000214152	9	965133	965411	-
AL354709.15|9|ENSG00000215221	9	960013	960396	+
AL354710.17-1|9|ENSG00000214593	9	6977	7494	-
AL354712.18|1|ENSG00000215909	1	5698	6396	+
AL354714.22|1|ENSG00000213080	1	744419	745518	+
AL354718.10|9|ENSG00000187060	9	855882	977506	+
AL354720.14-1|13|ENSG00000118928	13	799980	800387	-
AL354740.29|6|ENSG00000214810	6	292655	293356	+
AL354750.12|10|ENSG00000181993	10	66203	66625	-
AL354751.7-1|9|ENSG00000213682	9	89638	90742	+
AL354751.7-2|9|ENSG00000209040	9	95313	95380	+
AL354751.7-3|9|ENSG00000211379	9	95726	95787	+
AL354751.7-4|9|ENSG00000209034	9	130300	130399	-
AL354764.14|13|ENSG00000212054	13	788122	788203	+
AL354775.12-1|13|ENSG00000181836	13	123348	124178	-
AL354775.12-2|13|ENSG00000221685	13	199589	199682	+
AL354776.15|20|ENSG00000215443	20	302241	379910	-
AL354798.13|13|ENSG00000205804	13	606109	641262	-
AL354808.24-1|13|ENSG00000203615	13	251055	251181	-
AL354809.12|13|ENSG00000214823	13	533989	534310	-
AL354820.18-1|13|ENSG00000209736	13	494839	495136	+
AL354830.8|13|ENSG00000214182	13	646453	646744	+
AL354833.9-1|13|ENSG00000215480	13	888390	889002	+
AL354833.9-2|13|ENSG00000221194	13	990019	990108	-
AL354836.13|20|ENSG00000203951	20	293741	298080	+
AL354861.11|9|ENSG00000175611	9	33500	149780	-
AL354865.9|X|ENSG00000204272	X	678213	766497	+
AL354868.10-1|6|ENSG00000209948	6	659246	659368	+
AL354872.9-1|1|ENSG00000184957	1	998144	998560	+
AL354872.9-2|1|ENSG00000221032	1	985564	985681	-
AL354873.19-1|10|ENSG00000211103	10	478230	478323	+
AL354873.19-2|10|ENSG00000168777	10	511874	512368	-
AL354889.14|20|ENSG00000203999	20	390327	412526	+
AL354893.14|9|ENSG00000209183	9	446795	446898	-
AL354896.16|13|ENSG00000223059	13	122323	122384	-
AL354898.10-1|9|ENSG00000208562	9	347902	347998	+
AL354898.10-2|9|ENSG00000175223	9	327210	332165	+
AL354898.10-3|9|ENSG00000214536	9	328326	332165	+
AL354915.5|13|ENSG00000210167	13	70209	70303	-
AL354920.21-1|9|ENSG00000203406	9	486363	486807	-
AL354931.13|9|ENSG00000222745	9	468909	469018	+
AL354933.8|6|ENSG00000211530	6	194390	194502	+
AL354936.21|6|ENSG00000216015	6	781582	781680	-
AL354941.10|9|ENSG00000215297	9	354329	356737	-
AL354942.10|6|ENSG00000208409	6	1442563	1442631	-
AL354946.8|1|ENSG00000212038	1	804022	804113	+
AL354980.16-1|1|ENSG00000208528	1	100099	100197	+
AL354983.9|1|ENSG00000213028	1	648178	649085	-
AL354984.17-1|20|ENSG00000203971	20	27597	30131	-
AL354984.17-2|20|ENSG00000221385	20	137927	138078	+
AL354984.17-3|20|ENSG00000221007	20	989355	989506	+
AL354984.17-4|20|ENSG00000221451	20	46489	46564	+
AL354989.13-1|9|ENSG00000210706	9	233783	234031	+
AL355001.20|13|ENSG00000209382	13	453311	453405	+
AL355075.6-1|14|ENSG00000183673	14	33911	34135	-
AL355076.5-1|14|ENSG00000213511	14	427303	429202	+
AL355076.5-2|14|ENSG00000214759	14	416865	419503	+
AL355097.5|14|ENSG00000205477	14	575953	589520	-
AL355098.3-1|14|ENSG00000210655	14	356578	356857	-
AL355136.19|13|ENSG00000209790	13	952741	952812	-
AL355137.23-1|6|ENSG00000209996	6	915263	915558	-
AL355143.17-1|6|ENSG00000213183	6	4471	5054	-
AL355149.13-1|1|ENSG00000209511	1	21853	21925	-
AL355149.13-2|1|ENSG00000209524	1	27650	27721	+
AL355149.13-3|1|ENSG00000197511	1	9948	12362	+
AL355274.22|1|ENSG00000208118	1	74408	74493	+
AL355303.16-1|10|ENSG00000215267	10	315470	326816	-
AL355303.16-2|10|ENSG00000209374	10	338121	338247	-
AL355336.15-1|6|ENSG00000205410	6	334748	335404	-
AL355355.25|10|ENSG00000205092	10	755844	756041	-
AL355377.25-1|9|ENSG00000187791	9	73210	79594	-
AL355377.25-2|9|ENSG00000215199	9	106009	106740	-
AL355377.25-3|9|ENSG00000178723	9	100991	102112	+
AL355385.15|6|ENSG00000223079	6	892667	892752	+
AL355388.30|1|ENSG00000222611	1	883197	883278	+
AL355390.4|13|ENSG00000177596	13	112358	118516	-
AL355392.7-1|20|ENSG00000125997	20	528766	531302	+
AL355392.7-2|20|ENSG00000131062	20	533669	535421	+
AL355433.6-1|9|ENSG00000210585	9	242876	242951	+
AL355487.8|1|ENSG00000210881	1	610931	610993	-
AL355493.14-1|10|ENSG00000213770	10	416640	417218	-
AL355497.14-1|6|ENSG00000173909	6	254608	255096	+
AL355497.14-2|6|ENSG00000213091	6	319229	320043	+
AL355497.14-3|6|ENSG00000208527	6	441267	441369	+
AL355500.20-1|10|ENSG00000211268	10	671933	672025	+
AL355512.22|10|ENSG00000221359	10	227637	227781	+
AL355516.12|13|ENSG00000206191	13	364918	365103	-
AL355538.13-1|1|ENSG00000209170	1	888754	888969	+
AL355586.27-1|6|ENSG00000208945	6	767159	767285	-
AL355586.27-2|6|ENSG00000208942	6	822926	823000	+
AL355598.26-1|10|ENSG00000211165	10	57069	57195	-
AL355598.26-2|10|ENSG00000211171	10	64262	64355	+
AL355611.11-1|13|ENSG00000209895	13	393202	393475	-
AL355611.11-2|13|ENSG00000209896	13	408772	408840	-
AL355611.11-3|13|ENSG00000209906	13	408904	408967	-
AL355615.12-1|6|ENSG00000203875	6	818433	820069	-
AL355679.20|9|ENSG00000210529	9	647170	647382	+
AL355773.4|14|ENSG00000177350	14	400854	402325	+
AL355799.12|13|ENSG00000209120	13	716233	716331	-
AL355821.9-1|13|ENSG00000184837	13	767773	767970	-
AL355840.2|14|ENSG00000180662	14	615843	616377	-
AL355852.23-1|X|ENSG00000211146	X	253066	253363	+
AL355861.19-1|10|ENSG00000211177	10	208941	209230	+
AL355863.18|10|ENSG00000213247	10	898352	898647	+
AL355871.6|1|ENSG00000185636	1	274899	275333	-
AL355877.25|1|ENSG00000209677	1	13553	13637	+
AL355922.4-1|14|ENSG00000209407	14	517520	517811	+
AL355922.4-2|14|ENSG00000136315	14	473586	474065	+
AL355985.18-1|9|ENSG00000186788	9	767110	818806	+
AL355985.18-2|9|ENSG00000214929	9	812327	818806	+
AL355987.31-1|9|ENSG00000213212	9	866326	869080	-
AL355987.31-2|9|ENSG00000203274	9	931479	931755	-
AL355987.31-3|9|ENSG00000213213	9	849891	861281	+
AL356004.9-1|1|ENSG00000208946	1	91153	91223	+
AL356004.9-2|1|ENSG00000208929	1	100570	100640	+
AL356010.9|1|ENSG00000208075	1	284483	284565	-
AL356017.3|14|ENSG00000198411	14	4332	5568	+
AL356032.4-1|14|ENSG00000210383	14	117483	117550	-
AL356032.4-2|14|ENSG00000210393	14	118494	118563	-
AL356055.13-1|1|ENSG00000210142	1	71041	71130	-
AL356056.22|10|ENSG00000209907	10	48614	48852	-
AL356057.12-1|6|ENSG00000209093	6	298146	298206	+
AL356072.21-1|1|ENSG00000209383	1	437652	437752	-
AL356095.11-1|10|ENSG00000204042	10	705341	705766	-
AL356095.11-2|10|ENSG00000204041	10	712572	712997	-
AL356107.21|13|ENSG00000209569	13	416002	416106	-
AL356109.8|6|ENSG00000213119	6	326755	327188	+
AL356115.9|10|ENSG00000178429	10	572267	573087	+
AL356123.21-1|6|ENSG00000203689	6	158160	170523	-
AL356123.21-2|6|ENSG00000203688	6	172008	187606	-
AL356131.12|6|ENSG00000221606	6	828168	828280	+
AL356133.17-1|9|ENSG00000210561	9	843535	843758	+
AL356133.17-2|9|ENSG00000210580	9	844004	844090	+
AL356134.14|9|ENSG00000221282	9	84354	84440	-
AL356137.10|6|ENSG00000221336	6	239578	239668	-
AL356155.10|10|ENSG00000203973	10	663259	721905	+
AL356214.20-1|10|ENSG00000221352	10	42922	43035	+
AL356257.14-1|13|ENSG00000210263	13	906141	906203	-
AL356259.11|13|ENSG00000215349	13	776729	777766	-
AL356270.11|1|ENSG00000221702	1	308909	308996	+
AL356273.14-1|1|ENSG00000213051	1	109724	110640	-
AL356273.14-2|1|ENSG00000208248	1	149478	149545	+
AL356276.9|1|ENSG00000198867	1	516117	516679	+
AL356280.21-1|1|ENSG00000162699	1	834779	857511	+
AL356280.21-2|1|ENSG00000211434	1	822619	822691	+
AL356289.6|1|ENSG00000204015	1	315119	315331	+
AL356299.16-1|20|ENSG00000210131	20	568554	568656	-
AL356309.23|9|ENSG00000221768	9	274310	274386	-
AL356310.5|1|ENSG00000222080	1	971244	971337	-
AL356311.6|6|ENSG00000220559	6	312299	312777	+
AL356317.8|X|ENSG00000213754	X	347418	349115	-
